ID,Name,Name_DE,Ing,Icon,Form,Type1,Type2,Generation,Hight,Gewicht,Pre_Evo,Post_Evo,Evo_Typ
19,Rattata,Rattfratz,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/019.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/019.png,,Normal,,1,0.3,3.5,,Raticate,LevelUp
20,Raticate,Rattikarl,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/020.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/020.png,,Normal,,1,0.7,18.5,Rattata,,LevelUp
21,Spearow,Habitak,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/021.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/021.png,,Normal,Flying,1,0.3,2,,Fearow,LevelUp
22,Fearow,Ibitak,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/022.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/022.png,,Normal,Flying,1,1.2,38,Spearow,,LevelUp
23,Ekans,Rettan,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/023.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/023.png,,Poison,,1,2,6.9,,Arbok,LevelUp
24,Arbok,Arbok,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/024.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/024.png,,Poison,,1,3.5,65,Ekans,,LevelUp
25,Pikachu,Pikachu,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/025.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/025.png,,Electric,,1,0.4,6,Pichu,Raichu,levelFriendship
26,Raichu,Raichu,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/026.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/026.png,,Electric,,1,0.8,30,Pikachu,,useItem
27,Sandshrew,Sandan,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/027.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/027.png,,Ground,,1,0.6,12,,Sandslash,LevelUp
28,Sandslash,Sandamer,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/028.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/028.png,,Ground,,1,1,29.5,Sandshrew,,LevelUp
29,Nidoran,Nidoran?,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/029.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/029.png,Female,Poison,,1,0.4,7,,Nidorina,LevelUp
30,Nidorina,Nidorina,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/030.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/030.png,,Poison,,1,0.8,20,Nidoran-F,Nidoqueen,LevelUp
31,Nidoqueen,Nidoqueen,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/031.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/031.png,,Poison,Ground,1,1.3,60,Nidorina,,useItem
32,Nidoran,Nidoran?,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/032.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/032.png,Male,Poison,,1,0.5,9,,Nidorino,LevelUp
33,Nidorino,Nidorino,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/033.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/033.png,,Poison,,1,0.9,19.5,Nidoran-M,Nidoking,LevelUp
34,Nidoking,Nidoking,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/034.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/034.png,,Poison,Ground,1,1.4,62,Nidorino,,useItem
35,Clefairy,Piepi,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/035.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/035.png,,Fairy,,1,0.6,7.5,Cleffa,Clefable,levelFriendship
36,Clefable,Pixi,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/036.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/036.png,,Fairy,,1,1.3,40,Clefairy,,useItem
37,Vulpix,Vulpix,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/037.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/037.png,,Fire,,1,0.6,9.9,,Ninetales,LevelUp
38,Ninetales,Vulnona,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/038.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/038.png,,Fire,,1,1.1,19.9,Vulpix,,useItem
39,Jigglypuff,Pummeluff,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/039.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/039.png,,Normal,Fairy,1,0.5,5.5,Igglybuff,Wigglytuff,levelFriendship
40,Wigglytuff,Knuddeluff,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/040.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/040.png,,Normal,Fairy,1,1,12,Jigglypuff,,useItem
41,Zubat,Zubat,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/041.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/041.png,,Poison,Flying,1,0.8,7.5,,Golbat,LevelUp
42,Golbat,Golbat,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/042.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/042.png,,Poison,Flying,1,1.6,55,Zubat,Crobat,LevelUp
43,Oddish,Myrapla,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/043.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/043.png,,Grass,Poison,1,0.5,5.4,,Gloom,LevelUp
44,Gloom,Duflor,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/044.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/044.png,,Grass,Poison,1,0.8,8.6,Oddish,Vileplume,LevelUp
45,Vileplume,Giflor,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/045.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/045.png,,Grass,Poison,1,1.2,18.6,Gloom,,useItem
46,Paras,Paras,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/046.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/046.png,,Bug,Grass,1,0.3,5.4,,Parasect,LevelUp
47,Parasect,Parasek,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/047.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/047.png,,Bug,Grass,1,1,29.5,Paras,,LevelUp
48,Venonat,Bluzuk,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/048.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/048.png,,Bug,Poison,1,1,30,,Venomoth,LevelUp
49,Venomoth,Omot,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/049.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/049.png,,Bug,Poison,1,1.5,12.5,Venonat,,LevelUp
50,Diglett,Digda,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/050.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/050.png,,Ground,,1,0.2,0.8,,Dugtrio,LevelUp
51,Dugtrio,Digdri,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/051.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/051.png,,Ground,,1,0.7,33.3,Diglett,,LevelUp
52,Meowth,Mauzi,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/052.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/052.png,,Normal,,1,0.4,4.2,,Persian,LevelUp
53,Persian,Snobilikat,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/053.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/053.png,,Normal,,1,1,32,Meowth,,LevelUp
54,Psyduck,Enton,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/054.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/054.png,,Water,,1,0.8,19.6,,Golduck,LevelUp
55,Golduck,Entoron,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/055.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/055.png,,Water,,1,1.7,76.6,Psyduck,,LevelUp
56,Mankey,Menki,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/056.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/056.png,,Fighting,,1,0.5,28,,Primeape,LevelUp
57,Primeape,Rasaff,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/057.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/057.png,,Fighting,,1,1,32,Mankey,Annihilape,LevelUp
58,Growlithe,Fukano,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/058.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/058.png,,Fire,,1,0.7,19,,Arcanine,LevelUp
59,Arcanine,Arkani,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/059.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/059.png,,Fire,,1,1.9,155,Growlithe,,useItem
60,Poliwag,Quapsel,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/060.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/060.png,,Water,,1,0.6,12.4,,Poliwhirl,LevelUp
61,Poliwhirl,Quaputzi,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/061.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/061.png,,Water,,1,1,20,Poliwag,Poliwrath,LevelUp
62,Poliwrath,Quappo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/062.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/062.png,,Water,Fighting,1,1.3,54,Poliwhirl,,useItem
63,Abra,Abra,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/063.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/063.png,,Psychic,,1,0.9,19.5,,Kadabra,LevelUp
64,Kadabra,Kadabra,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/064.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/064.png,,Psychic,,1,1.3,56.5,Abra,Alakazam,LevelUp
65,Alakazam,Simsala,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/065.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/065.png,,Psychic,,1,1.5,48,Kadabra,,trade
66,Machop,Machollo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/066.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/066.png,,Fighting,,1,0.8,19.5,,Machoke,LevelUp
67,Machoke,Maschock,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/067.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/067.png,,Fighting,,1,1.5,70.5,Machop,Machamp,LevelUp
68,Machamp,Machomei,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/068.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/068.png,,Fighting,,1,1.6,130,Machoke,,trade
69,Bellsprout,Knofensa,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/069.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/069.png,,Grass,Poison,1,0.7,4,,Weepinbell,LevelUp
70,Weepinbell,Ultrigaria,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/070.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/070.png,,Grass,Poison,1,1,6.4,Bellsprout,Victreebel,LevelUp
71,Victreebel,Sarzenia,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/071.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/071.png,,Grass,Poison,1,1.7,15.5,Weepinbell,,useItem
72,Tentacool,Tentacha,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/072.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/072.png,,Water,Poison,1,0.9,45.5,,Tentacruel,LevelUp
73,Tentacruel,Tentoxa,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/073.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/073.png,,Water,Poison,1,1.6,55,Tentacool,,LevelUp
74,Geodude,Kleinstein,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/074.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/074.png,,Rock,Ground,1,0.4,20,,Graveler,LevelUp
75,Graveler,Georok,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/075.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/075.png,,Rock,Ground,1,1,105,Geodude,Golem,LevelUp
76,Golem,Geowaz,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/076.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/076.png,,Rock,Ground,1,1.4,300,Graveler,,trade
77,Ponyta,Ponita,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/077.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/077.png,,Fire,,1,1,30,,Rapidash,LevelUp
78,Rapidash,Gallopa,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/078.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/078.png,,Fire,,1,1.7,95,Ponyta,,LevelUp
79,Slowpoke,Flegmon,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/079.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/079.png,,Water,Psychic,1,1.2,36,,Slowbro,LevelUp
80,Slowbro,Lahmus,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/080.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/080.png,,Water,Psychic,1,1.6,78.5,Slowpoke,,LevelUp
81,Magnemite,Magnetilo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/081.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/081.png,,Electric,Steel,1,0.3,6,,Magneton,LevelUp
82,Magneton,Magneton,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/082.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/082.png,,Electric,Steel,1,1,60,Magnemite,Magnezone,LevelUp
83,Farfetch'd,Porenta,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/083.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/083.png,,Normal,Flying,1,0.8,15,,,LevelUp
84,Doduo,Dodu,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/084.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/084.png,,Normal,Flying,1,1.4,39.2,,Dodrio,LevelUp
85,Dodrio,Dodri,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/085.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/085.png,,Normal,Flying,1,1.8,85.2,Doduo,,LevelUp
86,Seel,Jurob,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/086.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/086.png,,Water,,1,1.1,90,,Dewgong,LevelUp
87,Dewgong,Jugong,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/087.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/087.png,,Water,Ice,1,1.7,120,Seel,,LevelUp
88,Grimer,Sleima,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/088.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/088.png,,Poison,,1,0.9,30,,Muk,LevelUp
89,Muk,Sleimok,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/089.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/089.png,,Poison,,1,1.2,30,Grimer,,LevelUp
90,Shellder,Muschas,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/090.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/090.png,,Water,,1,0.3,4,,Cloyster,LevelUp
91,Cloyster,Austos,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/091.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/091.png,,Water,Ice,1,1.5,132.5,Shellder,,useItem
92,Gastly,Nebulak,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/092.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/092.png,,Ghost,Poison,1,1.3,0.1,,Haunter,LevelUp
93,Haunter,Alpollo,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/093.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/093.png,,Ghost,Poison,1,1.6,0.1,Gastly,Gengar,LevelUp
94,Gengar,Gengar,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/094.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/094.png,,Ghost,Poison,1,1.5,40.5,Haunter,,trade
95,Onix,Onix,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/095.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/095.png,,Rock,Ground,1,8.8,210,,Steelix,LevelUp
96,Drowzee,Traumato,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/096.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/096.png,,Psychic,,1,1,32.4,,Hypno,LevelUp
97,Hypno,Hypno,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/097.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/097.png,,Psychic,,1,1.6,75.6,Drowzee,,LevelUp
98,Krabby,Krabby,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/098.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/098.png,,Water,,1,0.4,6.5,,Kingler,LevelUp
99,Kingler,Kingler,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/099.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/099.png,,Water,,1,1.3,60,Krabby,,LevelUp
100,Voltorb,Voltobal,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/100.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/100.png,,Electric,,1,0.5,10.4,,Electrode,LevelUp
101,Electrode,Lektrobal,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/101.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/101.png,,Electric,,1,1.2,66.6,Voltorb,,LevelUp
102,Exeggcute,Owei,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/102.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/102.png,,Grass,Psychic,1,0.4,2.5,,Exeggutor,LevelUp
103,Exeggutor,Kokowei,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/103.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/103.png,,Grass,Psychic,1,2,120,Exeggcute,,useItem
104,Cubone,Tragosso,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/104.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/104.png,,Ground,,1,0.4,6.5,,Marowak,LevelUp
105,Marowak,Knogga,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/105.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/105.png,,Ground,,1,1,45,Cubone,,LevelUp
106,Hitmonlee,Kicklee,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/106.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/106.png,,Fighting,,1,1.5,49.8,Tyrogue,,LevelUp
107,Hitmonchan,Nockchan,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/107.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/107.png,,Fighting,,1,1.4,50.2,Tyrogue,,LevelUp
108,Lickitung,Schlurp,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/108.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/108.png,,Normal,,1,1.2,65.5,,Lickilicky,LevelUp
109,Koffing,Smogon,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/109.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/109.png,,Poison,,1,0.6,1,,Weezing,LevelUp
110,Weezing,Smogmog,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/110.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/110.png,,Poison,,1,1.2,9.5,Koffing,,LevelUp
111,Rhyhorn,Rihorn,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/111.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/111.png,,Ground,Rock,1,1,115,,Rhydon,LevelUp
112,Rhydon,Rizeros,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/112.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/112.png,,Ground,Rock,1,1.9,120,Rhyhorn,Rhyperior,LevelUp
113,Chansey,Chaneira,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/113.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/113.png,,Normal,,1,1.1,34.6,Happiny,Blissey,levelHold
114,Tangela,Tangela,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/114.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/114.png,,Grass,,1,1,35,,Tangrowth,LevelUp
115,Kangaskhan,Kangama,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/115.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/115.png,,Normal,,1,2.2,80,,,LevelUp
116,Horsea,Seeper,https://media.bisafans.de/54bf46f/thumbs/300x300/pokemon/artwork/116.png,https://media.bisafans.de/024e1b2/pokemon/gen9/icon/statisch/116.png,,Water,,1,0.4,8,,Seadra,LevelUp
